match_id,reference_date,broadcast,security,transport,ticket_adjustment,static_attendance,static_tv_viewers,static_ticket_value,static_broadcast_value,static_attractiveness,static_resource_cost,static_risk,dynamic_attendance,dynamic_tv_viewers,dynamic_ticket_value,dynamic_broadcast_value,dynamic_attractiveness,dynamic_resource_cost,dynamic_risk,static_optimization_score,updated_evaluation_score
GF05,2026-06-27,1,4,3,-0.15,40670.4369867896,168879157.6525466,3802685.8582648276,8781716.197932424,0.5847,17.0,0.2816840909090909,33748.21316241307,110372924.06994544,3155457.930685622,5739392.051637162,0.4238355149134216,17.0,0.380440155769193,0.03756604867122843,0.001300325653451187
GF06,2026-06-27,1,4,1,-0.15,57532.00133924151,195143169.3685556,5379242.1252190815,10147444.80716489,0.7781999999999999,12.0,0.21508637021276597,53245.76913322353,151271956.05173963,4978479.4139564,7866141.714690461,0.6205222522664289,12.0,0.22835089372457348,0.4327992104119882,0.4651080996297372
GG05,2026-06-28,1,2,3,-0.15,42257.463965024705,163470890.37227446,3951072.88072981,8500486.299358271,0.5097,10.0,0.3491852835450313,40208.10085429813,117057489.8303345,3759457.429876875,6086989.471177394,0.46410660283883054,10.0,0.6455830806834348,-0.008139272363576408,0.09515706604698385
GG06,2026-06-28,1,3,1,-0.15,56154.983675143034,170842570.3973316,5250490.973625873,8883813.660661243,0.72,8.0,0.23317644087591244,55344.34749442218,135075497.4700119,5174696.490728474,7023925.868440618,0.6088278037584447,8.0,0.24441795641459857,0.3002793656223897,0.4249186233507858
GH05,2026-06-28,1,4,1,-0.15,65944.34797135092,206157228.90999636,6165796.53532131,10720175.90331981,0.7894,12.0,0.24243635261959,51938.871773087034,133766940.10897455,4856284.510783638,6955880.885666676,0.5207317671985551,12.0,0.7147061706637903,0.5393069696960122,0.270159536023428
GH06,2026-06-28,1,4,3,-0.15,55900.094203668734,152982654.5184385,5226658.808043026,7955098.034958801,0.6646,17.0,0.2111438,42298.83653033798,100387770.80620989,3954941.2155866013,5220164.081922914,0.43590314542434433,17.0,0.39352619083680007,0.16843366804924848,0.0334673538181262
GI05,2026-06-29,1,3,1,-0.15,45500.0,177185035.36536792,4254250.0,9213621.838999132,0.6479,8.0,0.30510984065934066,41775.55589038559,112092546.92617035,3906014.475751053,5828812.4401608575,0.4466719513083174,8.0,0.7369898089173443,0.16692534768565825,0.0773571820821134
GI06,2026-06-29,1,2,3,-0.15,44729.26150538326,161084359.2991389,4182185.950753335,8376386.683555223,0.5846,10.0,0.31921516697247715,41165.51519781028,112978817.166278,3848975.670995261,5874898.492646456,0.46280691636578625,10.0,0.3525560525441635,0.047239329090921364,0.12950643897189576
GJ05,2026-06-29,1,2,3,-0.15,38214.352584829416,166934934.48101538,3573041.9666815503,8680616.5930128,0.5138,10.0,0.3470666309859155,31391.79052306046,101784360.3144671,2935132.413906153,5292786.736352289,0.3668961106245993,10.0,0.7248805198173568,-0.02397961215018378,-0.0930091931849197
GJ06,2026-06-29,1,3,1,-0.15,48899.37706603351,182564339.50038797,4572091.755674133,9493345.654020173,0.6970000000000001,8.0,0.2740840024530192,47482.625894273326,151477378.31301627,4439625.521114556,7876823.672276845,0.626555379582176,8.0,0.12497563325481827,0.2569225308471406,0.45299876419986074
GK05,2026-06-30,1,4,1,-0.15,54773.44749532972,198161379.52010256,5121317.3408133285,10304391.735045332,0.7857999999999999,12.0,0.20581639574468089,48963.82321211659,126116278.39880757,4578117.470332901,6558046.476737994,0.5277061119276394,12.0,0.7116016245605988,0.43169971406063173,0.21238689027530305
GK06,2026-06-30,1,2,1,-0.15,48647.469814931,155652075.3652373,4548538.427696048,8093907.918992339,0.6618,5.0,0.24611851852672392,47394.01185654381,121551252.27410664,4431340.108586846,6320665.118253545,0.5630417157776754,5.0,0.22627063190415736,0.15521779359320828,0.2980112933519605
GL05,2026-06-30,1,2,3,-0.15,36466.568113749476,153756034.74008626,3409624.1186355758,7995313.806484485,0.4963,10.0,0.33449970418760466,33257.588790623355,112911338.08375914,3109584.551923284,5871389.580355476,0.4677918112598257,10.0,0.5935271757591747,-0.0956947739705909,0.024579273282820543
GL06,2026-06-30,1,4,3,-0.15,49154.32301895425,165978155.63721523,4595929.202272222,8630864.093135191,0.608,17.0,0.27203355319148936,40620.00277703787,110133756.23951961,3797970.259653041,5726955.324455019,0.43784980102054916,17.0,0.3637945664189065,0.11054935900119664,0.06750220881705059
