match_id,competition,stage,group_id,round_in_group,team_a,team_b,venue,city,country,date,local_kickoff_time,utc_datetime,goals_a,goals_b,source_url,retrieval_date
WC26-J05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,J,3,Algeria,Austria,Arrowhead Stadium,Kansas City,United States,2026-06-27,21:00,2026-06-28T02:00:00+00:00,3,3,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-J06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,J,3,Jordan,Argentina,AT&T Stadium,Dallas (Arlington),United States,2026-06-27,21:00,2026-06-28T02:00:00+00:00,1,3,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-K01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,K,1,Portugal,DR Congo,NRG Stadium,Houston,United States,2026-06-17,12:00,2026-06-17T17:00:00+00:00,1,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-K02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,K,1,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Mexico,2026-06-17,20:00,2026-06-18T02:00:00+00:00,1,3,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-K03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,K,2,Portugal,Uzbekistan,NRG Stadium,Houston,United States,2026-06-23,12:00,2026-06-23T17:00:00+00:00,5,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-K04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,K,2,Colombia,DR Congo,Estadio Akron,Guadalajara (Zapopan),Mexico,2026-06-23,20:00,2026-06-24T02:00:00+00:00,1,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-K05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,K,3,Colombia,Portugal,Hard Rock Stadium,Miami (Miami Gardens),United States,2026-06-27,19:30,2026-06-27T23:30:00+00:00,0,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-K06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,K,3,DR Congo,Uzbekistan,Mercedes-Benz Stadium,Atlanta,United States,2026-06-27,19:30,2026-06-27T23:30:00+00:00,3,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-L01,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,L,1,England,Croatia,AT&T Stadium,Dallas (Arlington),United States,2026-06-17,15:00,2026-06-17T20:00:00+00:00,4,2,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-L02,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,L,1,Ghana,Panama,BMO Field,Toronto,Canada,2026-06-17,19:00,2026-06-17T23:00:00+00:00,1,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-L03,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,L,2,England,Ghana,Gillette Stadium,Boston (Foxborough),United States,2026-06-23,16:00,2026-06-23T20:00:00+00:00,0,0,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-L04,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,L,2,Panama,Croatia,BMO Field,Toronto,Canada,2026-06-23,19:00,2026-06-23T23:00:00+00:00,0,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-L05,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,L,3,Panama,England,MetLife Stadium,New York/New Jersey (East Rutherford),United States,2026-06-27,17:00,2026-06-27T21:00:00+00:00,0,2,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
WC26-L06,"2026 FIFA World Cup Canada, Mexico, United States",Group Stage,L,3,Croatia,Ghana,Lincoln Financial Field,Philadelphia,United States,2026-06-27,17:00,2026-06-27T21:00:00+00:00,2,1,https://github.com/openfootball/worldcup/blob/master/2026--canada-usa-mexico/cup.txt,2026-08-14
