weight_T,weight_B,weight_U,weight_H,weight_C,weight_D,weight_F,weight_R,baseline_score,copt_score,copt_minus_baseline
0.3026837209347613,0.23083457994937337,0.12209174201748209,0.1180586505020569,0.08464469244966014,0.05703312783638391,0.05180363119147389,0.03284985511880837,0.3740022475625183,0.5038009295414545,0.12979868197893618
0.27954091706946466,0.2342705778137645,0.14632314662665322,0.10694118233584904,0.06664092149744305,0.060440172158769956,0.06831534734866358,0.03752773514939195,0.3567215539910328,0.4854465330185965,0.12872497902756375
0.25856647610990247,0.2089743629414164,0.15664535913871852,0.10756617269084129,0.08979883849756516,0.07463868583397842,0.07114987284973152,0.03266023193784619,0.31165307013896193,0.42636967236205203,0.1147166022230901
0.2011311957671917,0.295535784183909,0.14257279370066128,0.10825731739647272,0.08816074866380813,0.06440237395814168,0.0631297373577485,0.03681004897206686,0.2825435849452028,0.446375012432498,0.16383142748729518
0.2586319538564816,0.24151082180776665,0.14251219074535568,0.09750565907936495,0.0693327936408745,0.08621937202280679,0.06032397866294765,0.04396323018440229,0.31753169232257406,0.45292240138922824,0.13539070906665418
0.22661630223800025,0.24011716593810542,0.15430522147212644,0.10807771203073743,0.08402622338862265,0.0743237649227164,0.06640408510177917,0.04612952490791224,0.28934874799705224,0.42212772434943774,0.1327789763523855
0.2215778201192013,0.28713716376992354,0.167390257319682,0.0889443370359004,0.06921019602721004,0.06105078982233907,0.05773917870837591,0.04695025719736776,0.31247258125218735,0.47234742019787446,0.1598748389456871
0.2345403676717273,0.25558110190450856,0.16903462429311955,0.08658476812043776,0.08032386020767052,0.07159488917622879,0.0673765110494486,0.03496387757685877,0.3027648717550373,0.4439418036348837,0.14117693187984642
0.22031258873509915,0.24892998066439662,0.18519718196176385,0.10431434996163848,0.08487193119276179,0.06175066359716337,0.05803265111572481,0.036590652771451834,0.3111310404479541,0.4494767341994125,0.1383456937514584
0.24792853642621718,0.2575540799006426,0.15375052450601345,0.08441631223726709,0.0859997778183368,0.07824206770288943,0.05605096936254493,0.03605773204608847,0.3062769330075829,0.4510480577353228,0.1447711247277399
0.2769358560248858,0.19691325468194937,0.16695293628667052,0.09289776611698354,0.08907929706485522,0.07062448055828728,0.06258954217052906,0.04400686709583938,0.32362643981380484,0.4330173335566056,0.10939089374280075
0.26616603341618605,0.2551000718664744,0.1397717756207668,0.09884613588123027,0.08745597794920495,0.06985872235700846,0.046738303951596095,0.03606297895753295,0.33403090456191276,0.47873872690400077,0.144707822342088
